,Unnamed: 0,filename,setor,fold,quintilRenda
0,0,6LQe6hs8AA016zPRuo0kGA-0.jpg,351480905000014.0,2,4.0
1,1,6LQe6hs8AA016zPRuo0kGA-90.jpg,351480905000014.0,2,4.0
2,2,6LQe6hs8AA016zPRuo0kGA-180.jpg,351480905000014.0,2,4.0
3,3,6LQe6hs8AA016zPRuo0kGA-270.jpg,351480905000014.0,2,4.0
4,4,zwO05PWQE-I_3GsXW4nQPg-0.jpg,351480915000005.0,2,1.0
5,5,zwO05PWQE-I_3GsXW4nQPg-90.jpg,351480915000005.0,2,1.0
6,6,zwO05PWQE-I_3GsXW4nQPg-180.jpg,351480915000005.0,2,1.0
7,7,zwO05PWQE-I_3GsXW4nQPg-270.jpg,351480915000005.0,2,1.0
8,8,g-7EqKkprZbhk3LG0D2oug-0.jpg,352030105000019.0,2,2.0
9,9,g-7EqKkprZbhk3LG0D2oug-90.jpg,352030105000019.0,2,2.0
10,10,g-7EqKkprZbhk3LG0D2oug-180.jpg,352030105000019.0,2,2.0
11,11,g-7EqKkprZbhk3LG0D2oug-270.jpg,352030105000019.0,2,2.0
12,12,3QOdlJD5htqF3fLt6D6Deg-0.jpg,352042605000029.0,2,5.0
13,13,3QOdlJD5htqF3fLt6D6Deg-90.jpg,352042605000029.0,2,5.0
14,14,3QOdlJD5htqF3fLt6D6Deg-180.jpg,352042605000029.0,2,5.0
15,15,3QOdlJD5htqF3fLt6D6Deg-270.jpg,352042605000029.0,2,5.0
16,16,C-NOYT1jw_wZzsf-fCWlAw-0.jpg,352042605000024.0,2,5.0
17,17,C-NOYT1jw_wZzsf-fCWlAw-90.jpg,352042605000024.0,2,5.0
18,18,C-NOYT1jw_wZzsf-fCWlAw-180.jpg,352042605000024.0,2,5.0
19,19,C-NOYT1jw_wZzsf-fCWlAw-270.jpg,352042605000024.0,2,5.0
20,20,PLB2enk8_XEJl4av7V48hA-0.jpg,352042605000024.0,2,5.0
21,21,PLB2enk8_XEJl4av7V48hA-90.jpg,352042605000024.0,2,5.0
22,22,PLB2enk8_XEJl4av7V48hA-180.jpg,352042605000024.0,2,5.0
23,23,PLB2enk8_XEJl4av7V48hA-270.jpg,352042605000024.0,2,5.0
24,24,y1i16PF7QM84sG1LHO7gmw-0.jpg,352042605000024.0,2,5.0
25,25,y1i16PF7QM84sG1LHO7gmw-90.jpg,352042605000024.0,2,5.0
26,26,y1i16PF7QM84sG1LHO7gmw-180.jpg,352042605000024.0,2,5.0
27,27,y1i16PF7QM84sG1LHO7gmw-270.jpg,352042605000024.0,2,5.0
28,28,3xAYVIVPKCEdGmD9jIi3BQ-0.jpg,352042605000024.0,2,5.0
29,29,3xAYVIVPKCEdGmD9jIi3BQ-90.jpg,352042605000024.0,2,5.0
30,30,3xAYVIVPKCEdGmD9jIi3BQ-180.jpg,352042605000024.0,2,5.0
31,31,3xAYVIVPKCEdGmD9jIi3BQ-270.jpg,352042605000024.0,2,5.0
32,32,eKbA63VpTU8mHhd7NUyLaQ-0.jpg,352042605000015.0,2,4.0
33,33,eKbA63VpTU8mHhd7NUyLaQ-90.jpg,352042605000015.0,2,4.0
34,34,eKbA63VpTU8mHhd7NUyLaQ-180.jpg,352042605000015.0,2,4.0
35,35,eKbA63VpTU8mHhd7NUyLaQ-270.jpg,352042605000015.0,2,4.0
36,36,80wFIiDH_-S0sHorIkpL0Q-0.jpg,352042605000001.0,2,4.0
37,37,80wFIiDH_-S0sHorIkpL0Q-90.jpg,352042605000001.0,2,4.0
38,38,80wFIiDH_-S0sHorIkpL0Q-180.jpg,352042605000001.0,2,4.0
39,39,80wFIiDH_-S0sHorIkpL0Q-270.jpg,352042605000001.0,2,4.0
40,40,8HS1bUkuFWHZxG_5L-pnoA-0.jpg,352042605000001.0,2,4.0
41,41,8HS1bUkuFWHZxG_5L-pnoA-90.jpg,352042605000001.0,2,4.0
42,42,8HS1bUkuFWHZxG_5L-pnoA-180.jpg,352042605000001.0,2,4.0
43,43,8HS1bUkuFWHZxG_5L-pnoA-270.jpg,352042605000001.0,2,4.0
44,44,vPoFWQvF_7ngBmKt3Ui5Wg-0.jpg,352042605000013.0,2,4.0
45,45,vPoFWQvF_7ngBmKt3Ui5Wg-90.jpg,352042605000013.0,2,4.0
46,46,vPoFWQvF_7ngBmKt3Ui5Wg-180.jpg,352042605000013.0,2,4.0
47,47,vPoFWQvF_7ngBmKt3Ui5Wg-270.jpg,352042605000013.0,2,4.0
48,48,57DN5h9qZDBiemoJghFxcA-0.jpg,352042605000025.0,2,3.0
49,49,57DN5h9qZDBiemoJghFxcA-90.jpg,352042605000025.0,2,3.0
50,50,57DN5h9qZDBiemoJghFxcA-180.jpg,352042605000025.0,2,3.0
51,51,57DN5h9qZDBiemoJghFxcA-270.jpg,352042605000025.0,2,3.0
52,52,1V0D2bSqaKfHOIUScn_yVA-0.jpg,352042605000025.0,2,3.0
53,53,1V0D2bSqaKfHOIUScn_yVA-90.jpg,352042605000025.0,2,3.0
54,54,1V0D2bSqaKfHOIUScn_yVA-180.jpg,352042605000025.0,2,3.0
55,55,1V0D2bSqaKfHOIUScn_yVA-270.jpg,352042605000025.0,2,3.0
56,56,IcCvfwJimNgkimKDAoqcEg-0.jpg,352042605000031.0,2,5.0
57,57,IcCvfwJimNgkimKDAoqcEg-90.jpg,352042605000031.0,2,5.0
58,58,IcCvfwJimNgkimKDAoqcEg-180.jpg,352042605000031.0,2,5.0
59,59,IcCvfwJimNgkimKDAoqcEg-270.jpg,352042605000031.0,2,5.0
60,60,qVUNgCsaOxiNfbY5E3fGlQ-0.jpg,352042605000021.0,2,4.0
61,61,qVUNgCsaOxiNfbY5E3fGlQ-90.jpg,352042605000021.0,2,4.0
62,62,qVUNgCsaOxiNfbY5E3fGlQ-180.jpg,352042605000021.0,2,4.0
63,63,qVUNgCsaOxiNfbY5E3fGlQ-270.jpg,352042605000021.0,2,4.0
64,64,sZQuxHfABEUWUTPjPJ6RYg-0.jpg,352042605000021.0,2,4.0
65,65,sZQuxHfABEUWUTPjPJ6RYg-90.jpg,352042605000021.0,2,4.0
66,66,sZQuxHfABEUWUTPjPJ6RYg-180.jpg,352042605000021.0,2,4.0
67,67,sZQuxHfABEUWUTPjPJ6RYg-270.jpg,352042605000021.0,2,4.0
68,68,HXBcd3CgPemrbrb2wuE_jQ-0.jpg,352042605000022.0,2,4.0
