,Unnamed: 0,filename,setor,fold,quintilRenda
0,0,7oyKs65WBm5LAHNcHuCoDw-0.jpg,350270505000022.0,1,5.0
1,1,7oyKs65WBm5LAHNcHuCoDw-90.jpg,350270505000022.0,1,5.0
2,2,7oyKs65WBm5LAHNcHuCoDw-180.jpg,350270505000022.0,1,5.0
3,3,7oyKs65WBm5LAHNcHuCoDw-270.jpg,350270505000022.0,1,5.0
4,4,62ddeMELncvAnU9U4dAaIQ-0.jpg,350270505000024.0,1,2.0
5,5,62ddeMELncvAnU9U4dAaIQ-90.jpg,350270505000024.0,1,2.0
6,6,62ddeMELncvAnU9U4dAaIQ-180.jpg,350270505000024.0,1,2.0
7,7,62ddeMELncvAnU9U4dAaIQ-270.jpg,350270505000024.0,1,2.0
8,8,eWBZRZQqYB4CngbMCphMDA-0.jpg,350270505000021.0,1,4.0
9,9,eWBZRZQqYB4CngbMCphMDA-90.jpg,350270505000021.0,1,4.0
10,10,eWBZRZQqYB4CngbMCphMDA-180.jpg,350270505000021.0,1,4.0
11,11,eWBZRZQqYB4CngbMCphMDA-270.jpg,350270505000021.0,1,4.0
12,12,9a76BVVxa7Hs6ivAPAWxkQ-0.jpg,352030105000001.0,1,5.0
13,13,9a76BVVxa7Hs6ivAPAWxkQ-90.jpg,352030105000001.0,1,5.0
14,14,9a76BVVxa7Hs6ivAPAWxkQ-180.jpg,352030105000001.0,1,5.0
15,15,9a76BVVxa7Hs6ivAPAWxkQ-270.jpg,352030105000001.0,1,5.0
16,16,uA1vgYJcxvdvykeze-iHjQ-0.jpg,352030105000009.0,1,5.0
17,17,uA1vgYJcxvdvykeze-iHjQ-90.jpg,352030105000009.0,1,5.0
18,18,uA1vgYJcxvdvykeze-iHjQ-180.jpg,352030105000009.0,1,5.0
19,19,uA1vgYJcxvdvykeze-iHjQ-270.jpg,352030105000009.0,1,5.0
20,20,FBEvdeafgTJ6m004deCulw-0.jpg,352030105000050.0,1,5.0
21,21,FBEvdeafgTJ6m004deCulw-90.jpg,352030105000050.0,1,5.0
22,22,FBEvdeafgTJ6m004deCulw-180.jpg,352030105000050.0,1,5.0
23,23,FBEvdeafgTJ6m004deCulw-270.jpg,352030105000050.0,1,5.0
24,24,613SeERcnrZ0XhhkzNeVPA-0.jpg,352042605000030.0,1,5.0
25,25,613SeERcnrZ0XhhkzNeVPA-90.jpg,352042605000030.0,1,5.0
