,filename,setor,fold,quintilRenda
0,RvcLoqHeoMZ0xGLSfKmszA-0.jpg,350270505000003.0,3,5.0
1,RvcLoqHeoMZ0xGLSfKmszA-90.jpg,350270505000003.0,3,5.0
2,RvcLoqHeoMZ0xGLSfKmszA-180.jpg,350270505000003.0,3,5.0
3,RvcLoqHeoMZ0xGLSfKmszA-270.jpg,350270505000003.0,3,5.0
4,BXixvia5PXPHNR-IDENLNg-0.jpg,350990805000006.0,3,5.0
5,BXixvia5PXPHNR-IDENLNg-90.jpg,350990805000006.0,3,5.0
6,BXixvia5PXPHNR-IDENLNg-180.jpg,350990805000006.0,3,5.0
7,BXixvia5PXPHNR-IDENLNg-270.jpg,350990805000006.0,3,5.0
8,IWo0JbX4D9tMF7pezz6Yhw-0.jpg,352042605000008.0,3,3.0
9,IWo0JbX4D9tMF7pezz6Yhw-90.jpg,352042605000008.0,3,3.0
10,IWo0JbX4D9tMF7pezz6Yhw-180.jpg,352042605000008.0,3,3.0
11,IWo0JbX4D9tMF7pezz6Yhw-270.jpg,352042605000008.0,3,3.0
12,JJVByI7zYWCeBpdFmLXsGQ-0.jpg,351480905000004.0,3,3.0
13,JJVByI7zYWCeBpdFmLXsGQ-90.jpg,351480905000004.0,3,3.0
14,JJVByI7zYWCeBpdFmLXsGQ-180.jpg,351480905000004.0,3,3.0
15,JJVByI7zYWCeBpdFmLXsGQ-270.jpg,351480905000004.0,3,3.0
16,2FQCOa39I38TxApWB76gcA-0.jpg,352042605000028.0,3,5.0
17,2FQCOa39I38TxApWB76gcA-90.jpg,352042605000028.0,3,5.0
18,2FQCOa39I38TxApWB76gcA-180.jpg,352042605000028.0,3,5.0
19,2FQCOa39I38TxApWB76gcA-270.jpg,352042605000028.0,3,5.0
20,Iv02GOfylmYh515pKHaIEg-0.jpg,352042605000014.0,3,5.0
21,Iv02GOfylmYh515pKHaIEg-90.jpg,352042605000014.0,3,5.0
22,Iv02GOfylmYh515pKHaIEg-180.jpg,352042605000014.0,3,5.0
23,Iv02GOfylmYh515pKHaIEg-270.jpg,352042605000014.0,3,5.0
24,Okx8Ma-KnsJboyp_ElU0pA-0.jpg,352042605000002.0,3,5.0
25,Okx8Ma-KnsJboyp_ElU0pA-90.jpg,352042605000002.0,3,5.0
26,Okx8Ma-KnsJboyp_ElU0pA-180.jpg,352042605000002.0,3,5.0
27,Okx8Ma-KnsJboyp_ElU0pA-270.jpg,352042605000002.0,3,5.0
28,tsnuOgDxkkfQqzrmPgq8Ug-0.jpg,352042605000015.0,3,4.0
29,tsnuOgDxkkfQqzrmPgq8Ug-90.jpg,352042605000015.0,3,4.0
30,tsnuOgDxkkfQqzrmPgq8Ug-180.jpg,352042605000015.0,3,4.0
31,tsnuOgDxkkfQqzrmPgq8Ug-270.jpg,352042605000015.0,3,4.0
32,vWJDFZBc9L7d7fMfOoKcrQ-0.jpg,352042605000026.0,3,5.0
33,vWJDFZBc9L7d7fMfOoKcrQ-90.jpg,352042605000026.0,3,5.0
34,vWJDFZBc9L7d7fMfOoKcrQ-180.jpg,352042605000026.0,3,5.0
35,vWJDFZBc9L7d7fMfOoKcrQ-270.jpg,352042605000026.0,3,5.0
36,l2XEE-jZjPOxuPVFAL_5Lw-0.jpg,352042605000023.0,3,5.0
37,l2XEE-jZjPOxuPVFAL_5Lw-90.jpg,352042605000023.0,3,5.0
38,l2XEE-jZjPOxuPVFAL_5Lw-180.jpg,352042605000023.0,3,5.0
39,l2XEE-jZjPOxuPVFAL_5Lw-270.jpg,352042605000023.0,3,5.0
40,MRMb8qd1D7oTXMx-Pmk2VA-0.jpg,352042605000023.0,3,5.0
41,MRMb8qd1D7oTXMx-Pmk2VA-90.jpg,352042605000023.0,3,5.0
42,MRMb8qd1D7oTXMx-Pmk2VA-180.jpg,352042605000023.0,3,5.0
43,MRMb8qd1D7oTXMx-Pmk2VA-270.jpg,352042605000023.0,3,5.0
44,ycwZQKS3XQhv69iTux_6yQ-0.jpg,352042605000004.0,3,4.0
45,ycwZQKS3XQhv69iTux_6yQ-90.jpg,352042605000004.0,3,4.0
46,ycwZQKS3XQhv69iTux_6yQ-180.jpg,352042605000004.0,3,4.0
47,ycwZQKS3XQhv69iTux_6yQ-270.jpg,352042605000004.0,3,4.0
