,loss,accuracy,mean_absolute_error,Pearson,KendallTau
0,"1,682","0,2423","0,4877","0,9479","0,0506"
1,"1,5432","0,3186","0,4656","0,8391","0,1381"
2,"1,4637","0,3608","0,4528","0,7773","0,1852"
3,"1,4048","0,3904","0,4427","0,7358","0,2164"
4,"1,3568","0,4148","0,4339","0,7057","0,2392"
5,"1,3162","0,4367","0,4257","0,6829","0,2569"
6,"1,2811","0,4535","0,4179","0,6642","0,2719"
7,"1,2497","0,4713","0,4106","0,6484","0,285"
8,"1,2225","0,4869","0,4041","0,6351","0,2958"
9,"1,1962","0,5035","0,3976","0,6217","0,3066"
10,"1,1736","0,5158","0,392","0,6106","0,3156"
11,"1,1528","0,5275","0,3868","0,6002","0,3237"
12,"1,134","0,5396","0,382","0,5907","0,3309"
13,"1,1163","0,5503","0,3773","0,5816","0,3378"
14,"1,1","0,559","0,3731","0,5734","0,3437"
15,"1,0847","0,569","0,3691","0,5656","0,3493"
16,"1,0698","0,5777","0,3651","0,5579","0,3547"
17,"1,0559","0,5866","0,3613","0,5512","0,3594"
18,"1,0427","0,5961","0,3577","0,5443","0,364"
19,"1,0298","0,6042","0,3541","0,5378","0,3681"
20,"1,018","0,6114","0,3509","0,5324","0,3716"
21,"1,0064","0,6185","0,3476","0,5268","0,3752"
22,"0,9954","0,6268","0,3445","0,5216","0,3784"
23,"0,9847","0,6339","0,3414","0,5167","0,3813"
24,"0,9743","0,6392","0,3384","0,512","0,384"
25,"0,9643","0,646","0,3355","0,5074","0,3867"
26,"0,9545","0,6527","0,3326","0,5029","0,3892"
27,"0,9451","0,6583","0,3298","0,4989","0,3914"
28,"0,9356","0,664","0,327","0,4948","0,3935"
29,"0,9267","0,67","0,3244","0,491","0,3954"
30,"0,9179","0,6751","0,3217","0,4874","0,3973"
31,"0,9096","0,6808","0,3191","0,4841","0,3989"
32,"0,9008","0,6864","0,3164","0,4803","0,4008"
33,"0,8927","0,6906","0,314","0,4771","0,4023"
34,"0,8848","0,6949","0,3115","0,4742","0,4035"
35,"0,8768","0,6988","0,3091","0,4713","0,4047"
36,"0,8687","0,7039","0,3065","0,4677","0,4064"
37,"0,8612","0,7082","0,3042","0,4651","0,4075"
38,"0,854","0,7129","0,302","0,4628","0,4083"
39,"0,8463","0,7172","0,2995","0,46","0,4094"
40,"0,8392","0,7202","0,2972","0,4574","0,4104"
41,"0,832","0,7238","0,295","0,4552","0,4108"
42,"0,8247","0,7277","0,2927","0,4524","0,4119"
43,"0,8177","0,731","0,2904","0,45","0,4128"
44,"0,8108","0,7355","0,2883","0,4479","0,4134"
45,"0,8042","0,737","0,2862","0,446","0,4138"
46,"0,7974","0,7403","0,284","0,4436","0,4145"
47,"0,7908","0,7429","0,2819","0,4415","0,4151"
48,"0,7843","0,747","0,2799","0,4395","0,4155"
49,"0,7776","0,7499","0,2777","0,4372","0,4162"
50,"0,7714","0,7522","0,2757","0,4355","0,4165"
51,"0,765","0,7553","0,2737","0,4335","0,417"
52,"0,7585","0,7575","0,2715","0,4316","0,4174"
53,"0,7527","0,7601","0,2697","0,4297","0,4179"
54,"0,7468","0,7626","0,2678","0,4281","0,4182"
55,"0,7405","0,7654","0,2657","0,4262","0,4187"
56,"0,7347","0,7668","0,2639","0,4245","0,4188"
57,"0,7291","0,7692","0,262","0,4231","0,4191"
58,"0,7233","0,7709","0,2602","0,4214","0,4193"
59,"0,7175","0,7724","0,2582","0,4194","0,4197"
60,"0,7118","0,774","0,2565","0,4181","0,4198"
61,"0,7061","0,7766","0,2546","0,4162","0,4202"
62,"0,7007","0,7787","0,2528","0,4149","0,4204"
63,"0,695","0,7815","0,2509","0,4133","0,4206"
64,"0,6899","0,7826","0,2493","0,4118","0,4208"
65,"0,6843","0,7839","0,2474","0,4103","0,4209"
66,"0,6793","0,7856","0,2459","0,4091","0,4211"
67,"0,6739","0,7869","0,2441","0,4076","0,4212"
68,"0,6686","0,7887","0,2424","0,4064","0,4214"
69,"0,6634","0,7901","0,2407","0,4049","0,4215"
70,"0,6584","0,7912","0,239","0,4036","0,4217"
71,"0,6551","0,7924","0,2376","0,403","0,4216"
72,"0,6487","0,7933","0,2359","0,4014","0,4216"
73,"0,6436","0,7944","0,2342","0,4","0,4219"
74,"0,6387","0,7952","0,2326","0,3986","0,422"
75,"0,6339","0,7971","0,231","0,3973","0,4222"
76,"0,6294","0,798","0,2296","0,3963","0,4221"
77,"0,6247","0,7997","0,228","0,3952","0,4224"
78,"0,6199","0,8001","0,2264","0,3937","0,4225"
79,"0,6153","0,8006","0,2249","0,3925","0,4226"
80,"0,6108","0,8024","0,2233","0,3913","0,423"
81,"0,6065","0,8028","0,2219","0,3901","0,423"
82,"0,602","0,8037","0,2204","0,3891","0,4231"
83,"0,5979","0,8055","0,2191","0,388","0,4231"
84,"0,5935","0,8071","0,2175","0,3867","0,4234"
85,"0,5894","0,8077","0,2162","0,3858","0,4234"
86,"0,5854","0,8083","0,2148","0,3846","0,4235"
87,"0,581","0,8095","0,2134","0,3832","0,4238"
88,"0,5771","0,8099","0,2121","0,3824","0,4238"
89,"0,5731","0,8116","0,2107","0,3812","0,4241"
90,"0,569","0,8127","0,2093","0,38","0,4242"
91,"0,5653","0,8128","0,2081","0,3793","0,4241"
92,"0,5614","0,8141","0,2067","0,3783","0,4244"
93,"0,5578","0,8145","0,2055","0,3771","0,4246"
94,"0,554","0,8149","0,2043","0,3763","0,4246"
95,"0,5503","0,8156","0,2031","0,3753","0,4245"
96,"0,5467","0,8162","0,2018","0,3743","0,4247"
97,"0,5432","0,8171","0,2006","0,3732","0,4249"
98,"0,5394","0,8181","0,1993","0,3722","0,4252"
99,"0,5359","0,8177","0,1982","0,3715","0,425"
100,"0,5326","0,8189","0,1971","0,3706","0,4251"
101,"0,5291","0,8198","0,1958","0,3696","0,4253"
102,"0,5259","0,82","0,1948","0,3689","0,4254"
103,"0,5223","0,8211","0,1935","0,3676","0,4255"
104,"0,5191","0,8217","0,1925","0,3669","0,4257"
105,"0,5159","0,8221","0,1914","0,366","0,4256"
106,"0,5128","0,8227","0,1904","0,3657","0,4255"
107,"0,5093","0,8234","0,1891","0,3641","0,426"
108,"0,5062","0,8241","0,188","0,3635","0,426"
109,"0,5034","0,824","0,1871","0,3629","0,426"
110,"0,4999","0,8243","0,1859","0,3619","0,4262"
111,"0,497","0,8247","0,1849","0,3611","0,4264"
112,"0,4941","0,8246","0,184","0,3607","0,4262"
113,"0,491","0,8254","0,183","0,3595","0,4262"
114,"0,4882","0,8256","0,182","0,3588","0,4265"
115,"0,4851","0,8258","0,1809","0,3581","0,4265"
116,"0,4825","0,8258","0,1801","0,3577","0,4265"
117,"0,4796","0,8262","0,1791","0,3569","0,4265"
118,"0,4769","0,8265","0,1782","0,3562","0,4266"
119,"0,474","0,8273","0,1772","0,3554","0,4266"
120,"0,4711","0,8275","0,1762","0,3545","0,4269"
121,"0,4686","0,8274","0,1754","0,3541","0,4268"
122,"0,4659","0,828","0,1744","0,3533","0,427"
123,"0,463","0,828","0,1735","0,3527","0,4269"
124,"0,4605","0,8286","0,1726","0,3517","0,4272"
125,"0,458","0,8286","0,1718","0,3514","0,4272"
126,"0,4552","0,8285","0,1708","0,3508","0,4272"
127,"0,453","0,8289","0,1701","0,3502","0,4271"
128,"0,4504","0,8294","0,1692","0,3497","0,4273"
129,"0,4481","0,8297","0,1685","0,3493","0,4272"
130,"0,4456","0,8296","0,1676","0,3483","0,4274"
131,"0,4433","0,8299","0,1669","0,348","0,4273"
132,"0,4407","0,8305","0,1659","0,3471","0,4275"
133,"0,4384","0,8303","0,1651","0,3467","0,4275"
