,loss,accuracy,mean_absolute_error,Pearson,KendallTau
0,"1,6654","0,2368","0,4866","0,9323","0,0575"
1,"1,5417","0,3143","0,4658","0,8331","0,142"
2,"1,4713","0,3563","0,4546","0,778","0,1874"
3,"1,4189","0,3853","0,4463","0,7394","0,2179"
4,"1,3763","0,4069","0,4394","0,71","0,2404"
5,"1,3417","0,4284","0,4338","0,6888","0,2559"
6,"1,3102","0,4442","0,4284","0,6707","0,2689"
7,"1,2819","0,4598","0,4232","0,6559","0,2794"
8,"1,2569","0,4718","0,4184","0,6432","0,2884"
9,"1,2331","0,4839","0,4135","0,6314","0,2967"
10,"1,2122","0,4962","0,4091","0,6218","0,3039"
11,"1,1925","0,5067","0,4048","0,6126","0,3106"
12,"1,174","0,5166","0,4007","0,604","0,317"
13,"1,1569","0,5278","0,3966","0,5957","0,3232"
14,"1,1409","0,5375","0,3928","0,5885","0,3285"
15,"1,1262","0,5457","0,3892","0,5818","0,3335"
16,"1,1115","0,5568","0,3855","0,5748","0,3386"
17,"1,0979","0,5652","0,382","0,5691","0,3427"
18,"1,0849","0,5736","0,3785","0,5628","0,3471"
19,"1,072","0,5811","0,3751","0,557","0,3511"
20,"1,0601","0,5885","0,3719","0,5518","0,3546"
21,"1,0482","0,5969","0,3686","0,5469","0,3581"
22,"1,037","0,6043","0,3655","0,5418","0,3615"
23,"1,0263","0,6127","0,3625","0,5375","0,3642"
24,"1,0156","0,6195","0,3594","0,5331","0,3669"
25,"1,0052","0,6264","0,3563","0,5286","0,3697"
26,"0,9951","0,632","0,3534","0,5244","0,3724"
27,"0,9855","0,6373","0,3505","0,5206","0,3745"
28,"0,9758","0,6439","0,3477","0,5169","0,3766"
29,"0,9667","0,649","0,3449","0,5134","0,3785"
30,"0,9578","0,6525","0,3422","0,5101","0,3803"
31,"0,9488","0,6566","0,3395","0,5069","0,3818"
32,"0,94","0,6627","0,3368","0,5034","0,3837"
33,"0,9317","0,6671","0,3342","0,5003","0,3853"
34,"0,9229","0,6728","0,3315","0,4969","0,3869"
35,"0,915","0,6776","0,3291","0,4945","0,3879"
36,"0,907","0,6834","0,3265","0,4915","0,3893"
37,"0,899","0,6876","0,3241","0,4887","0,3905"
38,"0,8916","0,6898","0,3217","0,4864","0,3915"
39,"0,8839","0,6937","0,3193","0,4837","0,3926"
40,"0,8764","0,6984","0,3169","0,4811","0,3936"
41,"0,8692","0,701","0,3147","0,479","0,3942"
42,"0,8619","0,7052","0,3123","0,4765","0,3951"
43,"0,8545","0,7072","0,3099","0,4738","0,3962"
44,"0,8473","0,7109","0,3076","0,4715","0,3969"
45,"0,8406","0,7143","0,3055","0,4696","0,3975"
46,"0,834","0,716","0,3033","0,4674","0,3981"
47,"0,8271","0,7199","0,3011","0,4651","0,3989"
48,"0,8204","0,7227","0,2989","0,463","0,3994"
49,"0,8139","0,7258","0,2967","0,4608","0,4001"
50,"0,8076","0,7283","0,2947","0,4589","0,4006"
51,"0,8008","0,731","0,2925","0,4567","0,4012"
52,"0,7946","0,7345","0,2903","0,4545","0,402"
53,"0,7884","0,7368","0,2883","0,4526","0,4024"
54,"0,7823","0,7384","0,2862","0,4505","0,403"
55,"0,7761","0,7403","0,2842","0,4487","0,4034"
56,"0,7703","0,7426","0,2823","0,4468","0,4039"
57,"0,7643","0,7442","0,2803","0,4451","0,4043"
58,"0,7584","0,7463","0,2783","0,4432","0,4047"
59,"0,7525","0,7479","0,2762","0,4412","0,4052"
60,"0,7468","0,7496","0,2744","0,4394","0,4055"
61,"0,7411","0,7517","0,2725","0,4376","0,406"
62,"0,7354","0,754","0,2705","0,4357","0,4066"
63,"0,73","0,7553","0,2687","0,4343","0,4066"
64,"0,7245","0,7567","0,2668","0,4322","0,407"
65,"0,7189","0,7586","0,2649","0,4305","0,4075"
66,"0,7138","0,7604","0,2632","0,429","0,4079"
67,"0,7085","0,762","0,2614","0,4276","0,408"
68,"0,7032","0,7631","0,2596","0,426","0,4084"
69,"0,6979","0,7646","0,2577","0,4242","0,4088"
70,"0,693","0,767","0,2561","0,4227","0,4092"
71,"0,6894","0,7681","0,2544","0,4215","0,4095"
72,"0,6829","0,7691","0,2526","0,4197","0,4097"
73,"0,678","0,7711","0,2508","0,4181","0,4101"
74,"0,6729","0,7724","0,2492","0,4166","0,4102"
75,"0,668","0,7733","0,2474","0,415","0,4106"
76,"0,6634","0,774","0,2459","0,4137","0,4108"
77,"0,6587","0,7758","0,2442","0,4123","0,411"
78,"0,6541","0,7764","0,2426","0,4108","0,4113"
79,"0,6496","0,777","0,241","0,4095","0,4116"
80,"0,6449","0,7783","0,2394","0,4081","0,4118"
81,"0,6405","0,7793","0,2378","0,4067","0,4122"
82,"0,6361","0,7805","0,2364","0,4057","0,4122"
83,"0,6316","0,7811","0,2348","0,4041","0,4124"
84,"0,6273","0,7817","0,2332","0,4027","0,4128"
85,"0,6229","0,783","0,2318","0,4017","0,4128"
86,"0,6187","0,7836","0,2302","0,4002","0,4131"
87,"0,6145","0,7847","0,2288","0,3989","0,4133"
88,"0,6103","0,7847","0,2274","0,3981","0,4132"
89,"0,6064","0,7859","0,226","0,3968","0,4137"
90,"0,6021","0,7872","0,2244","0,3951","0,4141"
91,"0,5981","0,7875","0,2231","0,3942","0,4141"
92,"0,5944","0,7878","0,2216","0,3931","0,4145"
93,"0,5904","0,7887","0,2202","0,3917","0,4148"
94,"0,5867","0,7893","0,219","0,391","0,4148"
95,"0,5827","0,7902","0,2176","0,3899","0,4148"
96,"0,5788","0,7904","0,2162","0,3887","0,415"
97,"0,5752","0,7908","0,2148","0,3874","0,4154"
98,"0,5715","0,7914","0,2136","0,3863","0,4156"
99,"0,5678","0,7919","0,2123","0,3855","0,4156"
100,"0,5642","0,7927","0,2109","0,3842","0,416"
101,"0,5607","0,793","0,2098","0,3835","0,4159"
102,"0,5574","0,7931","0,2086","0,3828","0,4159"
103,"0,5536","0,7944","0,2072","0,3813","0,4163"
104,"0,5502","0,7952","0,206","0,3803","0,4165"
105,"0,5468","0,7959","0,2047","0,3791","0,4168"
106,"0,5436","0,7961","0,2037","0,3785","0,4168"
107,"0,54","0,7969","0,2023","0,3772","0,4171"
108,"0,5368","0,797","0,2012","0,3765","0,4172"
109,"0,5336","0,7971","0,2001","0,3756","0,4174"
110,"0,5303","0,798","0,1988","0,3746","0,4177"
111,"0,527","0,7985","0,1976","0,3736","0,4178"
112,"0,524","0,7983","0,1967","0,3732","0,4176"
113,"0,5207","0,799","0,1955","0,3719","0,4179"
114,"0,5177","0,799","0,1943","0,3709","0,4183"
115,"0,5143","0,7995","0,1932","0,3703","0,4182"
116,"0,5114","0,7998","0,1922","0,3694","0,4184"
117,"0,5087","0,8003","0,1913","0,3688","0,4184"
118,"0,5057","0,8008","0,1902","0,368","0,4186"
119,"0,5026","0,801","0,1891","0,3671","0,4187"
120,"0,4997","0,8013","0,188","0,3662","0,4189"
121,"0,497","0,8022","0,1871","0,3656","0,4189"
122,"0,4939","0,8025","0,186","0,3648","0,419"
123,"0,491","0,8024","0,1849","0,3639","0,4193"
124,"0,4884","0,8031","0,184","0,3631","0,4194"
125,"0,4855","0,8039","0,1829","0,3622","0,4197"
126,"0,4827","0,8042","0,182","0,3617","0,4196"
127,"0,4802","0,8046","0,1811","0,3609","0,4198"
128,"0,4775","0,8045","0,1801","0,3603","0,4199"
129,"0,4747","0,805","0,1792","0,3595","0,42"
130,"0,472","0,8053","0,1782","0,3587","0,4201"
131,"0,4695","0,8057","0,1773","0,358","0,4202"
132,"0,4669","0,8061","0,1764","0,3574","0,4203"
133,"0,4643","0,8061","0,1754","0,3566","0,4205"
134,"0,4619","0,8061","0,1747","0,3563","0,4204"
135,"0,4592","0,8063","0,1738","0,3553","0,4205"
136,"0,4566","0,8067","0,1728","0,3546","0,4207"
137,"0,4543","0,8071","0,172","0,354","0,4209"
138,"0,452","0,807","0,1712","0,3536","0,4209"
139,"0,4496","0,8074","0,1704","0,353","0,4211"
140,"0,447","0,8081","0,1695","0,3524","0,4212"
141,"0,4447","0,8086","0,1687","0,3517","0,4213"
142,"0,4424","0,8091","0,1678","0,3509","0,4217"
143,"0,4397","0,8092","0,1669","0,3504","0,4216"
144,"0,4372","0,8098","0,166","0,3496","0,4219"
145,"0,4349","0,809","0,1654","0,3493","0,4216"
146,"0,4321","0,8097","0,1644","0,3485","0,4219"
147,"0,4301","0,8093","0,1637","0,3481","0,4218"
148,"0,4278","0,81","0,1629","0,3475","0,4218"
149,"0,4255","0,81","0,1621","0,3466","0,422"
150,"0,4235","0,8098","0,1614","0,3462","0,4221"
151,"0,4214","0,8102","0,1607","0,3458","0,4221"
152,"0,4193","0,8102","0,16","0,3452","0,4222"
153,"0,4173","0,8104","0,1594","0,345","0,422"
154,"0,4155","0,8101","0,1588","0,3444","0,4221"
155,"0,4134","0,8105","0,1579","0,3437","0,4223"
156,"0,4117","0,8107","0,1575","0,3438","0,4221"
157,"0,4097","0,8106","0,1568","0,343","0,4222"
158,"0,4079","0,8104","0,1562","0,3425","0,4222"
159,"0,4061","0,8102","0,1557","0,3425","0,422"
160,"0,4044","0,8106","0,1551","0,342","0,4222"
161,"0,4023","0,811","0,1543","0,3412","0,4224"
162,"0,4008","0,8111","0,1539","0,3412","0,4222"
163,"0,3988","0,8115","0,1531","0,3406","0,4225"
164,"0,397","0,812","0,1525","0,34","0,4226"
165,"0,3955","0,8117","0,152","0,34","0,4224"
166,"0,3941","0,8121","0,1516","0,3398","0,4223"
167,"0,3924","0,8117","0,151","0,3394","0,4223"
168,"0,3905","0,812","0,1503","0,3386","0,4226"
169,"0,3888","0,8125","0,1497","0,3381","0,4227"
170,"0,3874","0,8125","0,1494","0,3381","0,4225"
171,"0,3856","0,8132","0,1486","0,3373","0,4228"
172,"0,3842","0,8128","0,1483","0,3374","0,4225"
173,"0,3828","0,8123","0,1479","0,3373","0,4224"
174,"0,3809","0,813","0,1472","0,3366","0,4226"
175,"0,3796","0,8127","0,1467","0,3362","0,4226"
176,"0,3779","0,8134","0,1461","0,3356","0,4228"
177,"0,3767","0,8131","0,1458","0,3357","0,4226"
178,"0,375","0,8134","0,1452","0,335","0,4228"
179,"0,3736","0,8135","0,1447","0,3349","0,4226"
180,"0,3722","0,8133","0,1443","0,3346","0,4228"
181,"0,3707","0,8132","0,1437","0,3343","0,4229"
182,"0,3693","0,8136","0,1433","0,3338","0,4229"
183,"0,3682","0,8134","0,143","0,334","0,4226"
184,"0,3667","0,814","0,1425","0,3334","0,4227"
185,"0,3653","0,814","0,1419","0,3328","0,4229"
186,"0,3641","0,8138","0,1416","0,333","0,4227"
187,"0,3627","0,8141","0,1412","0,3326","0,4228"
188,"0,3617","0,8147","0,1409","0,3324","0,4226"
189,"0,3604","0,8148","0,1404","0,3322","0,4227"
190,"0,359","0,815","0,1399","0,3318","0,4228"
191,"0,3578","0,8148","0,1395","0,3314","0,4228"
192,"0,3567","0,8152","0,1392","0,3314","0,4228"
193,"0,3554","0,8152","0,1388","0,3312","0,4227"
194,"0,3541","0,8153","0,1383","0,3307","0,4229"
195,"0,353","0,8157","0,138","0,3304","0,4228"
196,"0,3515","0,8161","0,1374","0,3299","0,4231"
197,"0,3504","0,8159","0,1371","0,33","0,4229"
198,"0,3494","0,8161","0,1368","0,3296","0,423"
199,"0,3482","0,816","0,1364","0,3295","0,423"
200,"0,3469","0,8163","0,1359","0,3291","0,4231"
201,"0,3456","0,8165","0,1355","0,3288","0,4232"
202,"0,3446","0,817","0,1352","0,3283","0,4232"
203,"0,3434","0,8168","0,1348","0,3283","0,4231"
204,"0,3423","0,8174","0,1344","0,328","0,4233"
205,"0,3415","0,817","0,1343","0,3282","0,423"
206,"0,3404","0,8172","0,1339","0,3276","0,4231"
207,"0,3392","0,8171","0,1335","0,3275","0,4232"
208,"0,338","0,8178","0,1331","0,3271","0,4234"
209,"0,3372","0,8176","0,1329","0,3272","0,4232"
210,"0,3362","0,8175","0,1325","0,3269","0,4233"
211,"0,335","0,8175","0,1321","0,3267","0,4233"
212,"0,334","0,8178","0,1318","0,3264","0,4233"
213,"0,3329","0,818","0,1315","0,3261","0,4235"
214,"0,332","0,8179","0,1311","0,326","0,4234"
215,"0,3309","0,8182","0,1308","0,3257","0,4235"
