,loss,accuracy,mean_absolute_error,Pearson,KendallTau
0,"1,6811","0,2385","0,4885","0,9337","0,0524"
1,"1,5425","0,3136","0,4653","0,8289","0,1412"
2,"1,4662","0,3565","0,4523","0,7741","0,1862"
3,"1,4085","0,3877","0,4423","0,7362","0,2165"
4,"1,3624","0,4106","0,4342","0,7078","0,239"
5,"1,3248","0,4307","0,4274","0,6857","0,2561"
6,"1,2921","0,4491","0,4213","0,6672","0,2704"
7,"1,2628","0,4636","0,4157","0,6511","0,2825"
8,"1,2376","0,4774","0,4107","0,6375","0,2927"
9,"1,2138","0,4921","0,4058","0,6245","0,3025"
10,"1,1923","0,5045","0,4013","0,6135","0,3105"
11,"1,1724","0,5169","0,3969","0,6033","0,3181"
12,"1,1537","0,5308","0,3927","0,5935","0,3251"
13,"1,137","0,5424","0,3888","0,5853","0,3309"
14,"1,1206","0,5535","0,3848","0,577","0,3366"
15,"1,1051","0,5637","0,381","0,5693","0,342"
16,"1,0904","0,5721","0,3773","0,5624","0,3466"
17,"1,0768","0,5801","0,3739","0,5564","0,3506"
18,"1,0631","0,5896","0,3702","0,5496","0,3551"
19,"1,0499","0,5988","0,3667","0,543","0,3593"
20,"1,038","0,6075","0,3634","0,5378","0,3625"
21,"1,0259","0,6158","0,36","0,5321","0,3662"
22,"1,015","0,6218","0,3569","0,5271","0,369"
23,"1,0037","0,6298","0,3538","0,522","0,3722"
24,"0,9931","0,6365","0,3508","0,5173","0,3747"
25,"0,9829","0,642","0,3478","0,5129","0,3772"
26,"0,9727","0,648","0,3447","0,5082","0,3799"
27,"0,9632","0,653","0,3419","0,504","0,3822"
28,"0,9537","0,6593","0,3391","0,5001","0,3842"
29,"0,9446","0,6649","0,3363","0,4963","0,3862"
30,"0,9355","0,6704","0,3336","0,4925","0,3881"
31,"0,9269","0,6743","0,3309","0,4891","0,3897"
32,"0,9178","0,6801","0,328","0,4851","0,3918"
33,"0,9097","0,6844","0,3256","0,4819","0,3932"
34,"0,9017","0,6892","0,3231","0,4789","0,3945"
35,"0,8934","0,6931","0,3205","0,4758","0,396"
36,"0,8856","0,6972","0,3179","0,4724","0,3975"
37,"0,8778","0,7003","0,3155","0,4697","0,3987"
38,"0,8703","0,7038","0,3131","0,4668","0,3999"
39,"0,8627","0,7074","0,3106","0,464","0,4012"
40,"0,8555","0,7107","0,3083","0,4614","0,4021"
41,"0,8481","0,7141","0,306","0,4589","0,4029"
42,"0,841","0,7171","0,3037","0,4562","0,404"
43,"0,834","0,7201","0,3014","0,4538","0,405"
44,"0,827","0,7241","0,2991","0,4513","0,4059"
45,"0,8203","0,7263","0,2969","0,4492","0,4066"
46,"0,8136","0,729","0,2947","0,4468","0,4073"
47,"0,8069","0,7332","0,2925","0,4445","0,4083"
48,"0,8004","0,735","0,2904","0,4425","0,4089"
49,"0,794","0,7376","0,2883","0,4403","0,4097"
50,"0,7877","0,74","0,2861","0,4383","0,4104"
51,"0,7812","0,7432","0,284","0,4361","0,4112"
52,"0,7751","0,7461","0,2819","0,4341","0,4119"
53,"0,7689","0,7479","0,2798","0,432","0,4125"
54,"0,7627","0,7505","0,2777","0,4301","0,4132"
55,"0,7571","0,7525","0,2758","0,4285","0,4137"
56,"0,7509","0,7543","0,2738","0,4264","0,4143"
57,"0,7452","0,7567","0,2718","0,4247","0,4148"
58,"0,7393","0,7581","0,2699","0,423","0,4153"
59,"0,7334","0,759","0,2678","0,4209","0,4159"
60,"0,7281","0,7607","0,2662","0,4196","0,416"
61,"0,7222","0,7623","0,264","0,4176","0,4168"
62,"0,7169","0,764","0,2622","0,416","0,4173"
63,"0,7115","0,7648","0,2604","0,4146","0,4175"
64,"0,706","0,7659","0,2585","0,4126","0,4181"
65,"0,7006","0,7676","0,2567","0,4112","0,4185"
66,"0,6956","0,7691","0,2549","0,4097","0,419"
67,"0,6905","0,7692","0,2533","0,4085","0,4191"
68,"0,685","0,7711","0,2513","0,4068","0,4198"
69,"0,68","0,7729","0,2495","0,4053","0,4202"
70,"0,6752","0,7733","0,2479","0,4039","0,4206"
71,"0,6718","0,7743","0,2463","0,4033","0,4205"
72,"0,665","0,7748","0,2443","0,401","0,4212"
73,"0,6605","0,7764","0,2428","0,3998","0,4217"
74,"0,6556","0,7768","0,2411","0,3985","0,4219"
75,"0,6508","0,7779","0,2394","0,397","0,4223"
76,"0,6462","0,7788","0,2378","0,3957","0,4226"
77,"0,6418","0,7791","0,2363","0,3947","0,4228"
78,"0,6369","0,7802","0,2345","0,393","0,4233"
79,"0,6325","0,7808","0,233","0,3918","0,4236"
80,"0,6279","0,7815","0,2313","0,3905","0,4241"
81,"0,6238","0,782","0,2299","0,3895","0,4241"
82,"0,6191","0,7825","0,2283","0,3884","0,4243"
83,"0,6148","0,7834","0,2268","0,3871","0,4247"
84,"0,6107","0,784","0,2253","0,3859","0,4251"
85,"0,6066","0,7845","0,2238","0,3849","0,4254"
86,"0,6022","0,7857","0,2222","0,3836","0,4257"
87,"0,5982","0,7862","0,2209","0,3825","0,4259"
88,"0,5942","0,7864","0,2195","0,3818","0,4259"
89,"0,5901","0,7872","0,2179","0,3803","0,4265"
90,"0,5859","0,7878","0,2164","0,3789","0,4269"
91,"0,5822","0,7887","0,2151","0,3782","0,4271"
92,"0,5781","0,7891","0,2136","0,3771","0,4275"
93,"0,5743","0,7894","0,2122","0,3758","0,4278"
94,"0,5708","0,7904","0,211","0,3751","0,428"
95,"0,5667","0,7906","0,2096","0,374","0,4279"
96,"0,5632","0,7909","0,2084","0,3732","0,4282"
97,"0,5594","0,7916","0,2069","0,372","0,4286"
98,"0,5559","0,7924","0,2056","0,3709","0,429"
99,"0,5525","0,7928","0,2045","0,3702","0,4291"
100,"0,5492","0,7928","0,2033","0,3694","0,4293"
101,"0,5453","0,7925","0,202","0,3684","0,4294"
102,"0,542","0,7929","0,2008","0,3674","0,4297"
103,"0,5384","0,7937","0,1994","0,3662","0,4302"
104,"0,5352","0,7935","0,1983","0,3656","0,4303"
105,"0,5319","0,7944","0,1971","0,3644","0,4306"
106,"0,5285","0,7945","0,1959","0,3639","0,4307"
107,"0,5253","0,7952","0,1947","0,3626","0,4311"
108,"0,5222","0,795","0,1936","0,3622","0,4312"
109,"0,5188","0,796","0,1923","0,361","0,4315"
110,"0,5156","0,7963","0,1911","0,3601","0,4318"
111,"0,5127","0,7961","0,1901","0,3594","0,4319"
112,"0,5097","0,7961","0,1892","0,3588","0,4318"
113,"0,5066","0,7966","0,188","0,3577","0,4322"
114,"0,5036","0,7974","0,1868","0,3569","0,4325"
115,"0,5004","0,7977","0,1857","0,3561","0,4327"
116,"0,4977","0,7976","0,1847","0,3556","0,4327"
117,"0,4948","0,7976","0,1838","0,3546","0,4329"
118,"0,4917","0,798","0,1825","0,3538","0,4331"
119,"0,489","0,7982","0,1816","0,3533","0,4332"
120,"0,4863","0,7978","0,1806","0,3524","0,4335"
121,"0,4835","0,7976","0,1796","0,3518","0,4336"
122,"0,4805","0,7981","0,1785","0,3508","0,4339"
123,"0,4778","0,7983","0,1775","0,3502","0,434"
124,"0,475","0,7986","0,1765","0,3492","0,4343"
125,"0,4722","0,7988","0,1754","0,3485","0,4346"
126,"0,4699","0,7985","0,1746","0,3481","0,4346"
127,"0,4671","0,7991","0,1737","0,3472","0,4349"
128,"0,4646","0,799","0,1727","0,3467","0,435"
129,"0,462","0,7989","0,1718","0,346","0,4351"
130,"0,4593","0,7992","0,1708","0,3451","0,4353"
131,"0,4574","0,7989","0,1702","0,3448","0,4352"
